Green River near Greendale, UT		
Upper Colorado River Basin		
Annual (Water Year, Oct-Sep) streamflow reconstruction		
Values in acre-feet		
Recon = reconstruction		
Observed = natural flow record from Bureau of Reclamation		
Recon Interval: 1615-1999		
Observed Interval: 1914-1995		
PI: F. A. Barnett		
Reference: Barnett, F. A. 2007. Upper Green River Basin Streamflow 
Reconstructions and Drought Variability. M.S. Thesis, Department of Civil and 
Architectural Engineering, University of Wyoming, 118 pp.
URL: http://treeflow.info/upco/greengreendale.html 		

==========
Year   Recon    Observed
1949   2431424   1897561
1950   2300257   2877194
1951   2119146   2548283
1952   2169342   2380599
1953   1513584   1524066
1954   1328422   1474362
1955   1225325   1225382
1956   1986719   2167617
1957   2590493   2237024
1958   1472931   1562363
1959   1683847   1400000
1960   1978334   1189386
1961   1407275   1009600
1962   2784555   2358128
1963   1725193   1374784
1964   1666584   1820627
1965   2403691   3104804
1966   1753877   1355579
1967   2202714   2165921
1968   1968080   1822521
1969   2161098   1847187
1970   1804464   1621544
1971   2251676   2728392
1972   2165007   2871126
1973   2200037   2148804
1974   2005808   2132571
1975   2184079   2295808
1976   2060063   2010247
1977    976516    743276
1978   2200641   2183872
1979   1969484   1413617
1980   2119728   2172454
1981   1144147   1167954
1982   2018966   2589002
1983   2989030   3495284
1984   2505616   2850518       
1985   1668460   1730361       
1986   2908485   3445200       
1987   2370381   1879663       
1988   1438147   1364537       
1989   1292999   1430947       
1990   1515142   1442078       
1991   2101477   1813693       
1992   1661694   1199179       
1993   2158567   1990641       
1994   1502838   1321640       
1995   2346167   2384556       
1996   2285905     -9999   
1997   1752336     -9999   
1998   2503955     -9999   
1999   2004966     -9999
