Colorado River at Lees Ferry, AZ (Meko)
Upper Colorado River Basin
Annual (Water Year, Oct-Sep) streamflow reconstruction
Values in acre-feet
Recon = reconstruction
Observed = natural flow record from US Bureau of Reclamation
Recon Interval: 762-2005	
Observed Interval: 1906-2004
PI: D. Meko
Reference: 	Meko, D.M., C.A. Woodhouse, C.H. Baisan, T. Knight, J.J. Lukas, 
M.K. Hughes, and M.W. Salzer. 2007. Medieval drought in the upper Colorado 
River Basin. Geophysical Research Letters, Vol. 34, L10705	
URL: http://treeflow.info/upco/coloradoleesmeko.html
Add'l Info: http://www.ncdc.noaa.gov/paleo/pubs/meko2007/meko2007.html 	 
           
==========              
Year	   Recon  Observed
1236  10020008     -9999  
1237  14067793     -9999  
1238  19047136     -9999  
1239  15777383     -9999  
1240  15027009     -9999  
1241  19904511     -9999  
1242  19389281     -9999  
1243  14312132     -9999  
1244  14332911     -9999  
1245   9081832     -9999  
1246  12587038     -9999  
1247  12643045     -9999  
1248  17974812     -9999  
1249  18093009     -9999  
1250  13083625     -9999  
1251   6284489     -9999  
1252  13662566     -9999  
1253  13194745     -9999  
1254   9161193     -9999  
1255  15770874     -9999  
1256  18640025     -9999  
1257  15196234     -9999  
1258   4324184     -9999  
1259  18007627     -9999  
1260  19595446     -9999  
1261  16181219     -9999  
1262  11904021     -9999  
1263  11496655     -9999  
1264  11213891     -9999  
1265  14969902     -9999  
1266  14314209     -9999  
1267  17371044     -9999  
1268  18899130     -9999  
1269  19303041     -9999  
1270  12311057     -9999  
1271  17306809     -9999  
1272  18288359     -9999  
1273  11820681     -9999  
1274   6997822     -9999  
1275  18537742     -9999  
1276  13562667     -9999  
1277  12792102     -9999  
1278  14114524     -9999  
1279   9127828     -9999  
1280   4674667     -9999  
1281  13535975     -9999  
1282  15557946     -9999  
1283  10284756     -9999  
1284  17321044     -9999  
1285  11364232     -9999  
1286   9205187     -9999  
1287  15866410     -9999  
1288  12166108     -9999  
1289  14345620     -9999  
1290  21145894     -9999  
1291  14096805     -9999  
1292  12676237     -9999  
1293  13151418     -9999  
1294  12126403     -9999  
1295   9511687     -9999  
1296  15547878     -9999  
1297  13563354     -9999  
1298  20444526     -9999  
1299  15839933     -9999  
1300  13552663     -9999  
1301  18326013     -9999  
1302  18742542     -9999  
1303  17788972     -9999  
1304  15050913     -9999  
1305  16296579     -9999  
1306  12378133     -9999  
1307   3712901     -9999  
1308  13266817     -9999  
1309  21127571     -9999  
1310  21618098     -9999  
1311  14386468     -9999  
1312  17658884     -9999  
1313  20407377     -9999  
1314  17005754     -9999  
1315  14328518     -9999  
1316   5102211     -9999  
1317   8799648     -9999  
1318  14004764     -9999  
1319  16582590     -9999  
1320  18194366     -9999  
1321  17209391     -9999  
1322  11836432     -9999  
1323   7793270     -9999  
1324  14598327     -9999  
1325  21591004     -9999  
1326  23865802     -9999  
1327  16579578     -9999  
1328  11207847     -9999  
1329   9575798     -9999  
1330  22225789     -9999  
1331  20987808     -9999  
1332  20202701     -9999  
1333  21775496     -9999  
1334  15405540     -9999  
1335  12418460     -9999  
1336  12680033     -9999  
1337  17215804     -9999  
1338  12876360     -9999  
1339  14950363     -9999  
1340  12365834     -9999  
1341  14358691     -9999  
1342  16120451     -9999  
1343  14603560     -9999  
1344  17987232     -9999  
1345  15635854     -9999  
1346  14186763     -9999  
1347  13950740     -9999  
1348  13113031     -9999  
1349  12248106     -9999  
1350   7970750     -9999  
1351  15211748     -9999  
1352  15523565     -9999  
1353  21207658     -9999  
1354  18823109     -9999  
1355  12882860     -9999  
1356  19800030     -9999  
1357  21604115     -9999  
1358  17592360     -9999  
1359  13056011     -9999  
1360   7318534     -9999  
1361  10156193     -9999  
1362  10851175     -9999  
1363  13886320     -9999  
1364  12324604     -9999  
1365  16495946     -9999  
1366  18607275     -9999  
1367  17815591     -9999  
1368  19540706     -9999  
1369  15433793     -9999  
1370  17101200     -9999  
1371  18014438     -9999  
1372  18194576     -9999  
1373  16429353     -9999  
1374  15543774     -9999  
1375  10498553     -9999  
1376  10884553     -9999  
1377  17768988     -9999  
1378  17871956     -9999  
1379  13840694     -9999  
1380  18134522     -9999  
1381  13492932     -9999  
1382  16829761     -9999  
1383  19662202     -9999  
1384  17265645     -9999  
1385  16153308     -9999  
1386  15097215     -9999  
1387  16541885     -9999  
1388  13663852     -9999  
1389   7427148     -9999  
1390  11406848     -9999  
1391  13912521     -9999  
1392  13237576     -9999  
1393  14916081     -9999  
1394  16879922     -9999  
1395  16513194     -9999  
1396  16131018     -9999  
1397   9878540     -9999  
1398  11453117     -9999  
